iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
  89  8.080052e+01    3.33e-04    1.87e+01   1.53e+00   4.42e-01  1.73e+06        1    3.52e-03    4.10e-01
  90  8.080019e+01    3.34e-04    1.88e+01   1.53e+00   4.42e-01  1.73e+06        1    3.48e-03    4.13e-01
  91  8.079985e+01    3.35e-04    1.89e+01   1.53e+00   4.42e-01  1.73e+06        1    3.95e-03    4.17e-01
  92  8.079951e+01    3.36e-04    1.90e+01   1.53e+00   4.42e-01  1.72e+06        1    3.77e-03    4.21e-01
  93  8.079918e+01    3.36e-04    1.91e+01   1.53e+00   4.42e-01  1.72e+06        1    3.52e-03    4.25e-01
  94  8.079884e+01    3.37e-04    1.91e+01   1.53e+00   4.42e-01  1.72e+06        1    3.62e-03    4.28e-01
  95  8.079850e+01    3.38e-04    1.92e+01   1.53e+00   4.42e-01  1.72e+06        1    3.50e-03    4.32e-01
  96  8.079816e+01    3.39e-04    1.93e+01   1.53e+00   4.42e-01  1.71e+06        1    4.37e-03    4.36e-01
  97  8.079782e+01    3.40e-04    1.94e+01   1.53e+00   4.42e-01  1.71e+06        1    3.46e-03    4.40e-01
  98  8.079748e+01    3.41e-04    1.95e+01   1.53e+00   4.42e-01  1.71e+06        1    3.42e-03    4.43e-01
  99  8.079714e+01    3.42e-04    1.96e+01   1.53e+00   4.42e-01  1.71e+06        1    3.41e-03    4.47e-01
 100  8.079680e+01    3.42e-04    1.97e+01   1.53e+00   4.42e-01  1.70e+06        1    3.82e-03    4.51e-01
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  2.925027e+02    0.00e+00    3.51e+02   0.00e+00   0.00e+00  1.00e+04        0    8.53e-03    1.63e-02
   1  2.880190e+02    4.48e+00    1.40e+01   0.00e+00   1.00e+00  3.00e+04        1    1.19e-02    2.83e-02
   2  2.880000e+02    1.90e-02    4.33e+01   2.96e+00   9.69e-01  9.00e+04        1    1.19e-02    4.02e-02
   3  2.879836e+02    1.64e-02    6.36e+01   7.54e+00   9.16e-01  2.13e+05        1    1.09e-02    5.12e-02
   4  2.879685e+02    1.51e-02    1.89e+02   1.52e+01   4.73e-01  2.13e+05        1    1.11e-02    6.25e-02
   5  2.879379e+02    3.06e-02    1.78e+02   1.44e+01   6.62e-01  2.20e+05        1    1.34e-02    7.59e-02
   6  2.879097e+02    2.82e-02    1.85e+02   1.46e+01   6.19e-01  2.23e+05        1    1.36e-02    8.96e-02
   7  2.878802e+02    2.95e-02    1.85e+02   1.45e+01   6.25e-01  2.27e+05        1    1.18e-02    1.02e-01
   8  2.878510e+02    2.92e-02    1.87e+02   1.46e+01   6.18e-01  2.30e+05        1    1.11e-02    1.13e-01
   9  2.878217e+02    2.93e-02    1.87e+02   1.46e+01   6.15e-01  2.33e+05        1    1.07e-02    1.23e-01
  10  2.877926e+02    2.91e-02    1.86e+02   1.45e+01   6.12e-01  2.35e+05        1    9.99e-03    1.34e-01
  11  2.877637e+02    2.89e-02    1.85e+02   1.45e+01   6.10e-01  2.38e+05        1    1.09e-02    1.45e-01
  12  2.877350e+02    2.87e-02    1.84e+02   1.44e+01   6.09e-01  2.40e+05        1    1.01e-02    1.55e-01
  13  2.877066e+02    2.84e-02    1.82e+02   1.44e+01   6.08e-01  2.43e+05        1    1.05e-02    1.65e-01
  14  2.876785e+02    2.81e-02    1.80e+02   1.43e+01   6.07e-01  2.45e+05        1    1.05e-02    1.76e-01
  15  2.876508e+02    2.77e-02    1.78e+02   1.42e+01   6.06e-01  2.47e+05        1    9.48e-03    1.85e-01
  16  2.876235e+02    2.73e-02    1.76e+02   1.41e+01   6.06e-01  2.50e+05        1    1.07e-02    1.96e-01
  17  2.875965e+02    2.69e-02    1.74e+02   1.40e+01   6.06e-01  2.52e+05        1    1.08e-02    2.07e-01
  18  2.875700e+02    2.65e-02    1.72e+02   1.39e+01   6.06e-01  2.55e+05        1    1.01e-02    2.17e-01
  19  2.875440e+02    2.61e-02    1.69e+02   1.38e+01   6.06e-01  2.57e+05        1    1.02e-02    2.28e-01
  20  2.875184e+02    2.56e-02    1.66e+02   1.37e+01   6.07e-01  2.60e+05        1    9.71e-03    2.37e-01
  21  2.874932e+02    2.51e-02    1.64e+02   1.36e+01   6.07e-01  2.62e+05        1    1.02e-02    2.48e-01
  22  2.874686e+02    2.46e-02    1.61e+02   1.35e+01   6.08e-01  2.65e+05        1    1.10e-02    2.59e-01
  23  2.874445e+02    2.41e-02    1.58e+02   1.34e+01   6.09e-01  2.68e+05        1    9.43e-03    2.68e-01
  24  2.874208e+02    2.36e-02    1.55e+02   1.32e+01   6.09e-01  2.71e+05        1    1.08e-02    2.79e-01
  25  2.873977e+02    2.31e-02    1.53e+02   1.31e+01   6.10e-01  2.73e+05        1    1.05e-02    2.90e-01
  26  2.873751e+02    2.26e-02    1.50e+02   1.30e+01   6.11e-01  2.77e+05        1    9.77e-03    2.99e-01
  27  2.873530e+02    2.21e-02    1.47e+02   1.29e+01   6.12e-01  2.80e+05        1    1.24e-02    3.12e-01
  28  2.873314e+02    2.16e-02    1.44e+02   1.27e+01   6.13e-01  2.83e+05        1    1.45e-02    3.27e-01
  29  2.873104e+02    2.10e-02    1.41e+02   1.26e+01   6.14e-01  2.86e+05        1    1.52e-02    3.42e-01
  30  2.872899e+02    2.05e-02    1.38e+02   1.25e+01   6.15e-01  2.90e+05        1    1.06e-02    3.53e-01
  31  2.872700e+02    1.99e-02    1.35e+02   1.24e+01   6.17e-01  2.94e+05        1    1.12e-02    3.64e-01
  32  2.872506e+02    1.94e-02    1.33e+02   1.22e+01   6.18e-01  2.98e+05        1    1.29e-02    3.77e-01
  33  2.872317e+02    1.89e-02    1.30e+02   1.21e+01   6.19e-01  3.02e+05        1    1.03e-02    3.87e-01
  34  2.872134e+02    1.83e-02    1.27e+02   1.19e+01   6.20e-01  3.06e+05        1    1.09e-02    3.98e-01
  35  2.871957e+02    1.78e-02    1.24e+02   1.18e+01   6.21e-01  3.10e+05        1    1.22e-02    4.11e-01
  36  2.871785e+02    1.72e-02    1.21e+02   1.17e+01   6.23e-01  3.15e+05        1    1.08e-02    4.22e-01
  37  2.871618e+02    1.67e-02    1.18e+02   1.15e+01   6.24e-01  3.20e+05        1    1.14e-02    4.33e-01
  38  2.871457e+02    1.61e-02    1.15e+02   1.14e+01   6.25e-01  3.25e+05        1    1.06e-02    4.44e-01
  39  2.871301e+02    1.56e-02    1.12e+02   1.13e+01   6.26e-01  3.30e+05        1    1.09e-02    4.55e-01
  40  2.871151e+02    1.50e-02    1.10e+02   1.11e+01   6.28e-01  3.36e+05        1    9.82e-03    4.65e-01
  41  2.871006e+02    1.45e-02    1.07e+02   1.10e+01   6.29e-01  3.42e+05        1    1.10e-02    4.76e-01
  42  2.870866e+02    1.40e-02    1.04e+02   1.08e+01   6.31e-01  3.48e+05        1    1.04e-02    4.86e-01
  43  2.870732e+02    1.34e-02    1.01e+02   1.07e+01   6.32e-01  3.54e+05        1    1.09e-02    4.97e-01
  44  2.870603e+02    1.29e-02    9.83e+01   1.05e+01   6.34e-01  3.61e+05        1    1.10e-02    5.08e-01
  45  2.870480e+02    1.24e-02    9.56e+01   1.04e+01   6.35e-01  3.69e+05        1    1.02e-02    5.19e-01
  46  2.870361e+02    1.18e-02    9.28e+01   1.02e+01   6.37e-01  3.76e+05        1    1.05e-02    5.29e-01
  47  2.870248e+02    1.13e-02    9.00e+01   1.01e+01   6.38e-01  3.84e+05        1    1.05e-02    5.40e-01
  48  2.870140e+02    1.08e-02    8.73e+01   9.92e+00   6.40e-01  3.93e+05        1    9.74e-03    5.50e-01
  49  2.870037e+02    1.03e-02    8.46e+01   9.76e+00   6.41e-01  4.02e+05        1    1.23e-02    5.62e-01
  50  2.869938e+02    9.82e-03    8.18e+01   9.60e+00   6.43e-01  4.12e+05        1    1.21e-02    5.74e-01
  51  2.869845e+02    9.33e-03    7.91e+01   9.44e+00   6.45e-01  4.22e+05        1    9.49e-03    5.84e-01
  52  2.869757e+02    8.85e-03    7.64e+01   9.28e+00   6.47e-01  4.33e+05        1    1.20e-02    5.96e-01
  53  2.869673e+02    8.38e-03    7.38e+01   9.12e+00   6.49e-01  4.45e+05        1    1.23e-02    6.08e-01
  54  2.869594e+02    7.92e-03    7.11e+01   8.95e+00   6.51e-01  4.57e+05        1    2.10e-02    6.29e-01
  55  2.869519e+02    7.46e-03    6.85e+01   8.79e+00   6.52e-01  4.70e+05        1    1.83e-02    6.48e-01
  56  2.869449e+02    7.02e-03    6.58e+01   8.62e+00   6.55e-01  4.85e+05        1    2.22e-02    6.70e-01
  57  2.869383e+02    6.58e-03    6.32e+01   8.45e+00   6.57e-01  5.00e+05        1    2.00e-02    6.90e-01
  58  2.869321e+02    6.16e-03    6.06e+01   8.27e+00   6.59e-01  5.17e+05        1    9.95e-03    7.00e-01
  59  2.869264e+02    5.75e-03    5.80e+01   8.09e+00   6.61e-01  5.35e+05        1    1.03e-02    7.11e-01
  60  2.869211e+02    5.34e-03    5.55e+01   7.91e+00   6.63e-01  5.54e+05        1    1.04e-02    7.21e-01
  61  2.869161e+02    4.96e-03    5.29e+01   7.73e+00   6.66e-01  5.75e+05        1    9.74e-03    7.31e-01
  62  2.869115e+02    4.58e-03    5.04e+01   7.55e+00   6.69e-01  5.98e+05        1    9.40e-03    7.40e-01
  63  2.869073e+02    4.22e-03    4.79e+01   7.36e+00   6.71e-01  6.23e+05        1    9.43e-03    7.50e-01
  64  2.869034e+02    3.87e-03    4.54e+01   7.16e+00   6.74e-01  6.50e+05        1    9.25e-03    7.59e-01
  65  2.868999e+02    3.53e-03    4.30e+01   6.97e+00   6.77e-01  6.81e+05        1    9.46e-03    7.69e-01
  66  2.868967e+02    3.21e-03    4.06e+01   6.77e+00   6.80e-01  7.14e+05        1    9.51e-03    7.79e-01
  67  2.868938e+02    2.90e-03    3.81e+01   6.57e+00   6.84e-01  7.51e+05        1    9.52e-03    7.88e-01
  68  2.868912e+02    2.60e-03    3.58e+01   6.36e+00   6.87e-01  7.93e+05        1    1.02e-02    7.98e-01
  69  2.868889e+02    2.33e-03    3.34e+01   6.15e+00   6.91e-01  8.40e+05        1    9.81e-03    8.08e-01
  70  2.868868e+02    2.06e-03    3.11e+01   5.93e+00   6.95e-01  8.93e+05        1    9.68e-03    8.18e-01
  71  2.868850e+02    1.81e-03    2.88e+01   5.70e+00   6.99e-01  9.53e+05        1    1.02e-02    8.28e-01
  72  2.868834e+02    1.58e-03    2.65e+01   5.48e+00   7.04e-01  1.02e+06        1    9.42e-03    8.38e-01
  73  2.868821e+02    1.37e-03    2.43e+01   5.24e+00   7.09e-01  1.10e+06        1    9.43e-03    8.47e-01
  74  2.868809e+02    1.17e-03    2.21e+01   5.00e+00   7.15e-01  1.20e+06        1    9.88e-03    8.57e-01
  75  2.868799e+02    9.83e-04    1.99e+01   4.75e+00   7.21e-01  1.31e+06        1    9.82e-03    8.67e-01
  76  2.868791e+02    8.15e-04    1.78e+01   4.49e+00   7.28e-01  1.45e+06        1    9.98e-03    8.77e-01
  77  2.868784e+02    6.65e-04    1.57e+01   4.22e+00   7.36e-01  1.62e+06        1    1.00e-02    8.87e-01
  78  2.868779e+02    5.30e-04    1.37e+01   3.94e+00   7.45e-01  1.84e+06        1    1.00e-02    8.98e-01
  79  2.868775e+02    4.12e-04    1.18e+01   3.65e+00   7.55e-01  2.12e+06        1    1.01e-02    9.08e-01
  80  2.868772e+02    3.10e-04    9.87e+00   3.34e+00   7.67e-01  2.50e+06        1    9.99e-03    9.18e-01
  81  2.868770e+02    2.23e-04    8.05e+00   3.02e+00   7.81e-01  3.03e+06        1    1.01e-02    9.28e-01
  82  2.868768e+02    1.52e-04    6.32e+00   2.68e+00   7.98e-01  3.85e+06        1    9.85e-03    9.38e-01
  83  2.868767e+02    9.61e-05    4.70e+00   2.31e+00   8.20e-01  5.21e+06        1    9.81e-03    9.48e-01
  84  2.868767e+02    5.43e-05    3.21e+00   1.91e+00   8.48e-01  7.88e+06        1    1.01e-02    9.58e-01
  85  2.868766e+02    2.57e-05    1.91e+00   1.47e+00   8.87e-01  1.47e+07        1    9.80e-03    9.68e-01
  86  2.868766e+02    8.90e-06    1.52e+00   9.86e-01   9.39e-01  4.40e+07        1    9.94e-03    9.78e-01
  87  2.868766e+02    1.66e-06    1.65e+00   4.81e-01   9.99e-01  1.32e+08        1    9.67e-03    9.88e-01
  88  2.868766e+02    8.01e-08    1.55e-01   1.03e-01   1.03e+00  3.96e+08        1    9.49e-03    9.97e-01
  89  2.868766e+02    6.28e-10    4.07e-03   1.18e-02   1.07e+00  1.19e+09        1    9.80e-03    1.01e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.252326e+02    0.00e+00    2.24e+01   0.00e+00   0.00e+00  1.00e+04        0    1.04e-02    2.10e-02
   1  5.246011e+02    6.31e-01    7.58e+00   0.00e+00   1.00e+00  3.00e+04        1    1.71e-02    3.82e-02
   2  5.245978e+02    3.34e-03    2.09e+00   2.45e-01   1.01e+00  9.00e+04        1    1.52e-02    5.35e-02
   3  5.245976e+02    1.82e-04    1.91e+00   1.18e-01   1.02e+00  2.70e+05        1    1.57e-02    6.93e-02
   4  5.245976e+02    4.39e-05    2.00e+00   2.87e-01   1.00e+00  8.10e+05        1    1.47e-02    8.41e-02
   5  5.245975e+02    8.32e-05    2.00e+00   6.64e-01   9.91e-01  2.43e+06        1    1.50e-02    9.92e-02
   6  5.245974e+02    9.07e-05    3.26e+00   1.11e+00   9.33e-01  6.95e+06        1    1.59e-02    1.15e-01
   7  5.245973e+02    4.31e-05    2.51e+00   9.71e-01   9.21e-01  1.72e+07        1    1.53e-02    1.31e-01
   8  5.245973e+02    8.43e-06    1.78e+00   3.74e-01   1.00e+00  5.17e+07        1    1.56e-02    1.46e-01
   9  5.245973e+02    2.27e-07    1.87e-01   6.96e-02   1.02e+00  1.55e+08        1    1.57e-02    1.62e-01
  10  5.245973e+02    1.42e-09    8.57e-03   6.02e-03   1.06e+00  4.66e+08        1    1.73e-02    1.79e-01
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  7.819741e+02    0.00e+00    3.72e+01   0.00e+00   0.00e+00  1.00e+04        0    1.48e-02    2.64e-02
   1  7.783024e+02    3.67e+00    1.46e+00   0.00e+00   1.00e+00  3.00e+04        1    2.30e-02    4.95e-02
   2  7.783020e+02    4.45e-04    7.43e-01   1.14e-01   9.97e-01  9.00e+04        1    2.24e-02    7.20e-02
   3  7.783017e+02    2.52e-04    1.93e+00   3.37e-01   1.00e+00  2.70e+05        1    1.90e-02    9.11e-02
   4  7.783014e+02    3.71e-04    1.98e+00   7.37e-01   9.97e-01  8.10e+05        1    1.88e-02    1.10e-01
   5  7.783011e+02    2.49e-04    2.05e+00   9.04e-01   9.91e-01  2.43e+06        1    1.85e-02    1.29e-01
   6  7.783011e+02    4.92e-05    1.54e+00   4.97e-01   1.00e+00  7.29e+06        1    1.85e-02    1.47e-01
   7  7.783011e+02    1.95e-06    4.11e-01   1.05e-01   1.01e+00  2.19e+07        1    1.91e-02    1.66e-01
   8  7.783011e+02    1.27e-08    1.84e-02   8.53e-03   1.03e+00  6.56e+07        1    2.25e-02    1.89e-01
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  1.112863e+03    0.00e+00    7.23e+00   0.00e+00   0.00e+00  1.00e+04        0    1.58e-02    2.99e-02
   1  1.112863e+03    3.48e-05    2.20e-01   0.00e+00   1.00e+00  3.00e+04        1    2.38e-02    5.37e-02
   2  1.112863e+03    5.79e-06    1.57e-01   1.88e-02   1.00e+00  9.00e+04        1    2.41e-02    7.80e-02
   3  1.112863e+03    8.65e-06    2.02e-01   4.42e-02   1.00e+00  2.70e+05        1    2.23e-02    1.00e-01
   4  1.112863e+03    9.85e-06    4.14e-01   8.76e-02   1.00e+00  8.10e+05        1    2.32e-02    1.24e-01
   5  1.112863e+03    4.85e-06    4.14e-01   9.04e-02   1.00e+00  2.43e+06        1    2.39e-02    1.48e-01
   6  1.112863e+03    6.02e-07    1.27e-01   3.90e-02   1.01e+00  7.29e+06        1    2.19e-02    1.70e-01
